case,device,P_loss_W,Tj_C,ambient_C,deltaT_C,limit_C,margin_C,verdict
subsea,buck_sic_mosfet,18.37,31.8,20.0,11.8,125.0,93.2,PASS
subsea,buck_diode,8.35,31.0,20.0,11.0,125.0,94.0,PASS
subsea,buck_inductor,6.68,30.0,20.0,10.0,125.0,95.0,PASS
subsea,pfc_mosfet,13.81,33.0,20.0,13.0,125.0,92.0,PASS
subsea,pfc_diode,9.21,32.8,20.0,12.8,125.0,92.2,PASS
subsea,pfc_inductor,7.67,32.0,20.0,12.0,125.0,93.0,PASS
subsea,flyback_aux,2.6,30.3,20.0,10.3,125.0,94.7,PASS
subsea,dcdc_primary,18.51,34.0,20.0,14.0,125.0,91.0,PASS
subsea,dcdc_sr,15.87,33.8,20.0,13.8,125.0,91.2,PASS
subsea,dcdc_transformer,10.58,32.2,20.0,12.2,125.0,92.8,PASS
subsea,dcdc_output,7.93,32.3,20.0,12.3,125.0,92.7,PASS
surface,buck_sic_mosfet,18.37,132.4,50.0,82.4,125.0,-7.4,FAIL
surface,buck_diode,8.35,132.2,50.0,82.2,125.0,-7.2,FAIL
surface,buck_inductor,6.68,132.4,50.0,82.4,125.0,-7.4,FAIL
surface,pfc_mosfet,13.81,136.1,50.0,86.1,125.0,-11.1,FAIL
surface,pfc_diode,9.21,136.9,50.0,86.9,125.0,-11.9,FAIL
surface,pfc_inductor,7.67,137.2,50.0,87.2,125.0,-12.2,FAIL
surface,flyback_aux,2.6,134.7,50.0,84.7,125.0,-9.7,FAIL
surface,dcdc_primary,18.51,139.8,50.0,89.8,125.0,-14.8,FAIL
surface,dcdc_sr,15.87,139.9,50.0,89.9,125.0,-14.9,FAIL
surface,dcdc_transformer,10.58,138.5,50.0,88.5,125.0,-13.5,FAIL
surface,dcdc_output,7.93,138.9,50.0,88.9,125.0,-13.9,FAIL
