device,P_loss_W,Tj_C,ambient_C,deltaT_C,limit_C,margin_C,verdict
buck_sic_mosfet,18.37,31.9,20.0,11.9,125.0,93.1,PASS
buck_diode,8.35,31.0,20.0,11.0,125.0,94.0,PASS
buck_inductor,6.68,30.0,20.0,10.0,125.0,95.0,PASS
pfc_mosfet,13.81,33.0,20.0,13.0,125.0,92.0,PASS
pfc_diode,9.21,32.8,20.0,12.8,125.0,92.2,PASS
pfc_inductor,7.67,32.1,20.0,12.1,125.0,92.9,PASS
flyback_aux,2.6,30.3,20.0,10.3,125.0,94.7,PASS
dcdc_primary,18.51,34.0,20.0,14.0,125.0,91.0,PASS
dcdc_sr,15.87,33.7,20.0,13.7,125.0,91.3,PASS
dcdc_transformer,10.58,32.2,20.0,12.2,125.0,92.8,PASS
dcdc_output,7.93,32.3,20.0,12.3,125.0,92.7,PASS
